Time	Node	Type	Packets	
1	leaf-1	CacheHits	1
1	leaf-1	CacheMisses	13
1	leaf-2	CacheHits	2
1	leaf-2	CacheMisses	14
1	leaf-3	CacheHits	2
1	leaf-3	CacheMisses	14
1	leaf-4	CacheHits	2
1	leaf-4	CacheMisses	14
1	rtr-1	CacheHits	12
1	rtr-1	CacheMisses	13
1	rtr-2	CacheHits	12
1	rtr-2	CacheMisses	13
1	root	CacheHits	12
1	root	CacheMisses	13
2	leaf-1	CacheHits	0
2	leaf-1	CacheMisses	10
2	leaf-2	CacheHits	0
2	leaf-2	CacheMisses	10
2	leaf-3	CacheHits	0
2	leaf-3	CacheMisses	10
2	leaf-4	CacheHits	0
2	leaf-4	CacheMisses	10
2	rtr-1	CacheHits	10
2	rtr-1	CacheMisses	10
2	rtr-2	CacheHits	10
2	rtr-2	CacheMisses	10
2	root	CacheHits	10
2	root	CacheMisses	10
3	leaf-1	CacheHits	0
3	leaf-1	CacheMisses	10
3	leaf-2	CacheHits	0
3	leaf-2	CacheMisses	10
3	leaf-3	CacheHits	0
3	leaf-3	CacheMisses	10
3	leaf-4	CacheHits	0
3	leaf-4	CacheMisses	10
3	rtr-1	CacheHits	10
3	rtr-1	CacheMisses	10
3	rtr-2	CacheHits	10
3	rtr-2	CacheMisses	10
3	root	CacheHits	10
3	root	CacheMisses	10
4	leaf-1	CacheHits	0
4	leaf-1	CacheMisses	10
4	leaf-2	CacheHits	0
4	leaf-2	CacheMisses	10
4	leaf-3	CacheHits	0
4	leaf-3	CacheMisses	10
4	leaf-4	CacheHits	0
4	leaf-4	CacheMisses	10
4	rtr-1	CacheHits	10
4	rtr-1	CacheMisses	10
4	rtr-2	CacheHits	10
4	rtr-2	CacheMisses	10
4	root	CacheHits	10
4	root	CacheMisses	10
5	leaf-1	CacheHits	0
5	leaf-1	CacheMisses	10
5	leaf-2	CacheHits	0
5	leaf-2	CacheMisses	10
5	leaf-3	CacheHits	0
5	leaf-3	CacheMisses	10
5	leaf-4	CacheHits	0
5	leaf-4	CacheMisses	10
5	rtr-1	CacheHits	10
5	rtr-1	CacheMisses	10
5	rtr-2	CacheHits	10
5	rtr-2	CacheMisses	10
5	root	CacheHits	10
5	root	CacheMisses	10
6	leaf-1	CacheHits	0
6	leaf-1	CacheMisses	10
6	leaf-2	CacheHits	0
6	leaf-2	CacheMisses	10
6	leaf-3	CacheHits	0
6	leaf-3	CacheMisses	10
6	leaf-4	CacheHits	0
6	leaf-4	CacheMisses	10
6	rtr-1	CacheHits	10
6	rtr-1	CacheMisses	10
6	rtr-2	CacheHits	10
6	rtr-2	CacheMisses	10
6	root	CacheHits	10
6	root	CacheMisses	10
7	leaf-1	CacheHits	0
7	leaf-1	CacheMisses	10
7	leaf-2	CacheHits	0
7	leaf-2	CacheMisses	10
7	leaf-3	CacheHits	0
7	leaf-3	CacheMisses	10
7	leaf-4	CacheHits	0
7	leaf-4	CacheMisses	10
7	rtr-1	CacheHits	10
7	rtr-1	CacheMisses	10
7	rtr-2	CacheHits	10
7	rtr-2	CacheMisses	10
7	root	CacheHits	10
7	root	CacheMisses	10
8	leaf-1	CacheHits	0
8	leaf-1	CacheMisses	10
8	leaf-2	CacheHits	0
8	leaf-2	CacheMisses	10
8	leaf-3	CacheHits	0
8	leaf-3	CacheMisses	10
8	leaf-4	CacheHits	0
8	leaf-4	CacheMisses	10
8	rtr-1	CacheHits	10
8	rtr-1	CacheMisses	10
8	rtr-2	CacheHits	10
8	rtr-2	CacheMisses	10
8	root	CacheHits	10
8	root	CacheMisses	10
9	leaf-1	CacheHits	0
9	leaf-1	CacheMisses	10
9	leaf-2	CacheHits	0
9	leaf-2	CacheMisses	10
9	leaf-3	CacheHits	0
9	leaf-3	CacheMisses	10
9	leaf-4	CacheHits	0
9	leaf-4	CacheMisses	10
9	rtr-1	CacheHits	10
9	rtr-1	CacheMisses	10
9	rtr-2	CacheHits	10
9	rtr-2	CacheMisses	10
9	root	CacheHits	10
9	root	CacheMisses	10
10	leaf-1	CacheHits	0
10	leaf-1	CacheMisses	10
10	leaf-2	CacheHits	0
10	leaf-2	CacheMisses	10
10	leaf-3	CacheHits	0
10	leaf-3	CacheMisses	10
10	leaf-4	CacheHits	0
10	leaf-4	CacheMisses	10
10	rtr-1	CacheHits	10
10	rtr-1	CacheMisses	10
10	rtr-2	CacheHits	10
10	rtr-2	CacheMisses	10
10	root	CacheHits	10
10	root	CacheMisses	10
11	leaf-1	CacheHits	0
11	leaf-1	CacheMisses	10
11	leaf-2	CacheHits	0
11	leaf-2	CacheMisses	10
